loss: 1.382072  [    0/49972]
loss: 1.323256  [ 1000/49972]
loss: 1.292621  [ 2000/49972]
loss: 1.285757  [ 3000/49972]
loss: 1.304157  [ 4000/49972]
loss: 1.226930  [ 5000/49972]
loss: 1.116741  [ 6000/49972]
loss: 1.121400  [ 7000/49972]
loss: 1.103882  [ 8000/49972]
loss: 1.064254  [ 9000/49972]
loss: 1.110639  [10000/49972]
loss: 1.172462  [11000/49972]
loss: 1.160365  [12000/49972]
loss: 0.986425  [13000/49972]
loss: 1.044325  [14000/49972]
loss: 0.926661  [15000/49972]
loss: 0.841156  [16000/49972]
loss: 1.096604  [17000/49972]
loss: 0.877135  [18000/49972]
loss: 0.763649  [19000/49972]
loss: 0.748917  [20000/49972]
loss: 0.859409  [21000/49972]
loss: 0.712217  [22000/49972]
loss: 0.839733  [23000/49972]
loss: 0.952518  [24000/49972]
loss: 0.967798  [25000/49972]
loss: 1.170231  [26000/49972]
loss: 0.923892  [27000/49972]
loss: 1.266753  [28000/49972]
loss: 0.502482  [29000/49972]
loss: 1.056827  [30000/49972]
loss: 0.746668  [31000/49972]
loss: 0.868903  [32000/49972]
loss: 0.735321  [33000/49972]
loss: 0.449387  [34000/49972]
loss: 0.761653  [35000/49972]
loss: 1.193034  [36000/49972]
loss: 0.574447  [37000/49972]
loss: 1.059603  [38000/49972]
loss: 0.702123  [39000/49972]
loss: 0.699581  [40000/49972]
loss: 0.955763  [41000/49972]
loss: 0.691654  [42000/49972]
loss: 0.583926  [43000/49972]
loss: 0.580836  [44000/49972]
loss: 0.580286  [45000/49972]
loss: 0.681215  [46000/49972]
loss: 0.577863  [47000/49972]
loss: 0.601045  [48000/49972]
loss: 0.820965  [49000/49972]
